10,2001100
200,996300
300,1000300
500,1001700
2000,999400
3000,1002300
4000,999100
5000,998800
6000,1999600
7000,2000700
8000,1993000
9000,2001700
10000,2997300
11000,2999400
12000,1998400
13000,3002200
14000,2994600
15000,7999600
16000,1997500
17000,999100
18000,1007900
19000,998800
20000,2002900
10,1004100
200,1005800
300,996700
500,1006700
2000,1000100
3000,998700
4000,1004300
5000,998200
6000,2998700
7000,1003700
8000,2001600
9000,1999900
10000,2004300
11000,2000300
12000,1004500
13000,1999400
14000,2998900
15000,6987000
16000,1000000
18000,1003800
19000,1001200
20000,1003200
10,998900
300,998200
500,991400
1000,1008400
2000,1000900
3000,1001900
4000,1000600
5000,1000800
6000,2002500
7000,2004600
8000,1993800
9000,1999000
10000,1999900
11000,2998400
12000,3004100
13000,2003100
14000,2000300
15000,8999600
16000,2000000
17000,1000100
18000,2007000
19000,1005100
20000,1000900
200,1000800
300,999500
500,999600
3000,1001700
4000,997200
5000,1000800
6000,2000200
7000,1994500
8000,2004300
9000,1000300
10000,2001100
11000,1997000
12000,2000600
13000,1996200
14000,2998100
15000,10005500
16000,1002200
18000,1007100
19000,1000300
20000,999600
10,997200
200,998300
3000,1006800
5000,999900
6000,999400
7000,1000200
9000,1001100
10000,999600
11000,2005300
12000,999200
13000,1001300
14000,1003400
15000,999700
16000,1000600
17000,1000900
18000,3001600
19000,3000500
20000,3001700
300,999900
6000,1007600
7000,1002000
10000,1000600
11000,1003300
12000,997900
13000,1001600
14000,1002100
16000,1005900
17000,999900
18000,3999700
19000,3000800
20000,3000300
10,999200
200,999500
500,1001600
2000,1000500
3000,2004200
4000,999600
5000,2000400
6000,2000500
7000,999700
8000,10003500
9000,2002400
10000,1002500
11000,2001200
12000,1001400
13000,1001200
14000,1001000
15000,1000500
16000,1000500
17000,999100
18000,999300
19000,1000000
20000,2004200
10,999400
800,998700
1000,1001900
2000,1004600
3000,2002700
4000,1002800
5000,997200
6000,999800
7000,1000600
8000,8999700
9000,1998400
10000,2004400
11000,992800
12000,1002000
13000,1001700
14000,1002400
15000,1002400
16000,1002800
17000,1011700
18000,1003500
19000,998800
20000,1004500
10,998100
300,1000600
800,998500
3000,1001700
4000,1005600
5000,1999900
6000,998100
7000,1001100
8000,10000400
9000,997100
10000,1994200
11000,2000300
12000,1000600
13000,1001200
14000,999300
15000,1998700
16000,1003200
17000,1009100
18000,2002700
19000,998600
20000,1001500
10,1000200
500,1002400
800,1000100
1000,1003700
2000,1000700
3000,998900
4000,2001300
5000,1999300
6000,999300
7000,1000900
8000,1999200
9000,2000500
10000,1999300
11000,1999100
12000,3997800
13000,2001500
14000,1999900
15000,15002300
16000,2007300
17000,2003800
18000,1995000
19000,997500
20000,999500
