10,18001400
11000,1999800
10,14006000
11000,1000500
15000,1002400
10,15002100
11000,2998800
16000,1000300
17000,1001000
10,12303000
3000,1001500
10000,1004300
11000,996300
13000,999000
16000,1009600
10,9001500
7000,1000300
11000,1001700
6000,998700
15000,1002300
19000,1000700
20000,1002400
10,13003800
2000,1000400
8000,1000000
11000,1001500
10,9002700
4000,998200
11000,3006800
13000,1000300
20000,998300
10,11000300
1000,1001600
8000,1000700
11000,2004900
10,23003600
8000,999000
11000,2000100
10,14999200
200,1005100
2000,1001300
11000,2000600
