10,1000300
300,2009800
800,1001400
2000,1002800
6000,999100
8000,1001900
9000,1000000
10000,998800
12000,1003700
13000,2006800
16000,996500
17000,999400
19000,997300
1000,1003300
2000,999300
3000,1001900
6000,999500
7000,1002300
11000,1002200
12000,988700
13000,993100
16000,997900
18000,1001100
19000,998300
3000,1004000
4000,998300
5000,994500
6000,999300
7000,1000500
9000,1007200
11000,996900
12000,996400
13000,998400
16000,997800
18000,998100
19000,1002500
20000,999500
1000,1008700
2000,999000
6000,1004000
9000,998300
10000,1000200
11000,2004000
13000,1002800
18000,1002700
19000,999300
20000,1001400
10,1001300
300,1000200
800,1022100
3000,1001100
10000,1001400
11000,999400
12000,1001800
13000,1004300
17000,1000100
18000,999300
19000,1001000
20000,1000000
200,1000300
500,1000300
4000,1001000
5000,1001200
8000,998400
11000,2004400
13000,1000400
16000,996800
17000,996800
18000,1005200
19000,1000800
20000,999300
10,1002100
200,1000300
4000,999600
5000,1001100
7000,1000900
10000,999200
12000,994000
14000,1006600
17000,1002200
10,996700
300,997200
1000,2006000
2000,998800
3000,1000100
5000,1003700
6000,1000100
7000,2996600
8000,1003100
10000,1005200
11000,2002900
14000,1005300
17000,1004800
18000,994200
19000,1001600
20000,1000700
10,997000
200,997600
500,1000400
3000,1001100
7000,1001900
8000,1002000
10000,997900
11000,996900
16000,1001500
17000,999700
10,998800
1000,1001300
2000,1000300
5000,997200
8000,3010500
9000,1002000
10000,1002600
11000,1001900
16000,997700
17000,1002100
18000,1004700
20000,1000400
10,1000500
500,998000
800,997700
1000,1003100
2000,1000000
3000,992800
4000,1005600
7000,1001800
8000,1001100
9000,1003000
10000,991400
11000,1004100
13000,999500
20000,997800
